"Tiedot";"Vuosi";"Alue";"Puolue";"Yhteensä";"Miehet";"Naiset"
"Ehdokkaiden lukumäärä";"2021";"300 Kuortane";"Yhteensä";64;40;24
"Ehdokkaiden lukumäärä";"2021";"403 Lappajärvi";"Yhteensä";44;31;13
"Ehdokkaiden lukumäärä";"2021";"421 Lestijärvi";"Yhteensä";24;16;8
"Ehdokkaiden lukumäärä";"2021";"440 Luoto";"Yhteensä";76;46;30
"Ehdokkaiden lukumäärä";"2021";"475 Maalahti";"Yhteensä";69;39;30
"Ehdokkaiden lukumäärä";"2021";"545 Närpiö";"Yhteensä";62;35;27
"Ehdokkaiden lukumäärä";"2021";"584 Perho";"Yhteensä";36;26;10
"Ehdokkaiden lukumäärä";"2021";"599 Pedersören kunta";"Yhteensä";102;58;44
"Ehdokkaiden lukumäärä";"2021";"759 Soini";"Yhteensä";41;21;20
"Ehdokkaiden lukumäärä";"2021";"846 Teuva";"Yhteensä";77;46;31
"Ehdokkaiden lukumäärä";"2021";"849 Toholampi";"Yhteensä";29;20;9
"Ehdokkaiden lukumäärä";"2021";"893 Uusikaarlepyy";"Yhteensä";59;29;30
"Ehdokkaiden lukumäärä";"2021";"924 Veteli";"Yhteensä";48;32;16
"Ehdokkaiden lukumäärä";"2021";"934 Vimpeli";"Yhteensä";62;40;22
"Ehdokkaiden lukumäärä";"2021";"946 Vöyri";"Yhteensä";44;28;16
"Ehdokkaiden lukumäärä";"2021";"989 Ähtäri";"Yhteensä";79;48;31
"Ehdokkaiden lukumäärä";"2021";"179 Jyväskylä";"Yhteensä";611;377;234
"Ehdokkaiden lukumäärä";"2021";"182 Jämsä";"Yhteensä";154;108;46
"Ehdokkaiden lukumäärä";"2021";"249 Keuruu";"Yhteensä";86;57;29
"Ehdokkaiden lukumäärä";"2021";"410 Laukaa";"Yhteensä";127;88;39
"Ehdokkaiden lukumäärä";"2021";"500 Muurame";"Yhteensä";85;52;33
"Ehdokkaiden lukumäärä";"2021";"992 Äänekoski";"Yhteensä";124;82;42
"Ehdokkaiden lukumäärä";"2021";"077 Hankasalmi";"Yhteensä";55;33;22
"Ehdokkaiden lukumäärä";"2021";"172 Joutsa";"Yhteensä";53;34;19
"Ehdokkaiden lukumäärä";"2021";"216 Kannonkoski";"Yhteensä";26;17;9
"Ehdokkaiden lukumäärä";"2021";"226 Karstula";"Yhteensä";54;30;24
"Ehdokkaiden lukumäärä";"2021";"256 Kinnula";"Yhteensä";42;27;15
"Ehdokkaiden lukumäärä";"2021";"265 Kivijärvi";"Yhteensä";23;16;7
"Ehdokkaiden lukumäärä";"2021";"275 Konnevesi";"Yhteensä";30;17;13
"Ehdokkaiden lukumäärä";"2021";"312 Kyyjärvi";"Yhteensä";29;21;8
"Ehdokkaiden lukumäärä";"2021";"435 Luhanka";"Yhteensä";25;18;7
"Ehdokkaiden lukumäärä";"2021";"495 Multia";"Yhteensä";24;14;10
"Ehdokkaiden lukumäärä";"2021";"592 Petäjävesi";"Yhteensä";70;45;25
"Ehdokkaiden lukumäärä";"2021";"601 Pihtipudas";"Yhteensä";69;39;30
"Ehdokkaiden lukumäärä";"2021";"729 Saarijärvi";"Yhteensä";105;71;34
"Ehdokkaiden lukumäärä";"2021";"850 Toivakka";"Yhteensä";51;28;23
"Ehdokkaiden lukumäärä";"2021";"892 Uurainen";"Yhteensä";58;38;20
"Ehdokkaiden lukumäärä";"2021";"931 Viitasaari";"Yhteensä";90;57;33
"Ehdokkaiden lukumäärä";"2021";"205 Kajaani";"Yhteensä";259;176;83
"Ehdokkaiden lukumäärä";"2021";"244 Kempele";"Yhteensä";112;62;50
"Ehdokkaiden lukumäärä";"2021";"564 Oulu";"Yhteensä";670;405;265
"Ehdokkaiden lukumäärä";"2021";"678 Raahe";"Yhteensä";162;103;59
"Ehdokkaiden lukumäärä";"2021";"069 Haapajärvi";"Yhteensä";78;53;25
"Ehdokkaiden lukumäärä";"2021";"139 Ii";"Yhteensä";78;44;34
"Ehdokkaiden lukumäärä";"2021";"208 Kalajoki";"Yhteensä";96;59;37
"Ehdokkaiden lukumäärä";"2021";"290 Kuhmo";"Yhteensä";89;56;33
"Ehdokkaiden lukumäärä";"2021";"305 Kuusamo";"Yhteensä";142;93;49
"Ehdokkaiden lukumäärä";"2021";"425 Liminka";"Yhteensä";81;55;26
"Ehdokkaiden lukumäärä";"2021";"494 Muhos";"Yhteensä";80;54;26
"Ehdokkaiden lukumäärä";"2021";"535 Nivala";"Yhteensä";85;51;34
"Ehdokkaiden lukumäärä";"2021";"563 Oulainen";"Yhteensä";76;49;27
"Ehdokkaiden lukumäärä";"2021";"765 Sotkamo";"Yhteensä";123;75;48
"Ehdokkaiden lukumäärä";"2021";"977 Ylivieska";"Yhteensä";120;78;42
"Ehdokkaiden lukumäärä";"2021";"009 Alavieska";"Yhteensä";42;31;11
"Ehdokkaiden lukumäärä";"2021";"071 Haapavesi";"Yhteensä";88;59;29
"Ehdokkaiden lukumäärä";"2021";"072 Hailuoto";"Yhteensä";37;23;14
"Ehdokkaiden lukumäärä";"2021";"105 Hyrynsalmi";"Yhteensä";35;21;14
"Ehdokkaiden lukumäärä";"2021";"317 Kärsämäki";"Yhteensä";46;28;18
"Ehdokkaiden lukumäärä";"2021";"436 Lumijoki";"Yhteensä";28;18;10
"Ehdokkaiden lukumäärä";"2021";"483 Merijärvi";"Yhteensä";21;11;10
"Ehdokkaiden lukumäärä";"2021";"578 Paltamo";"Yhteensä";44;24;20
"Ehdokkaiden lukumäärä";"2021";"615 Pudasjärvi";"Yhteensä";99;58;41
"Ehdokkaiden lukumäärä";"2021";"620 Puolanka";"Yhteensä";41;24;17
"Ehdokkaiden lukumäärä";"2021";"625 Pyhäjoki";"Yhteensä";46;25;21
"Ehdokkaiden lukumäärä";"2021";"626 Pyhäjärvi";"Yhteensä";57;38;19
"Ehdokkaiden lukumäärä";"2021";"630 Pyhäntä";"Yhteensä";34;20;14
"Ehdokkaiden lukumäärä";"2021";"691 Reisjärvi";"Yhteensä";36;23;13
"Ehdokkaiden lukumäärä";"2021";"697 Ristijärvi";"Yhteensä";27;15;12
"Ehdokkaiden lukumäärä";"2021";"746 Sievi";"Yhteensä";56;36;20
"Ehdokkaiden lukumäärä";"2021";"748 Siikajoki";"Yhteensä";58;37;21
"Ehdokkaiden lukumäärä";"2021";"777 Suomussalmi";"Yhteensä";89;64;25
"Ehdokkaiden lukumäärä";"2021";"785 Vaala";"Yhteensä";64;41;23
"Ehdokkaiden lukumäärä";"2021";"791 Siikalatva";"Yhteensä";52;33;19
"Ehdokkaiden lukumäärä";"2021";"832 Taivalkoski";"Yhteensä";64;43;21
"Ehdokkaiden lukumäärä";"2021";"859 Tyrnävä";"Yhteensä";76;39;37
"Ehdokkaiden lukumäärä";"2021";"889 Utajärvi";"Yhteensä";60;34;26
"Ehdokkaiden lukumäärä";"2021";"240 Kemi";"Yhteensä";168;99;69
"Ehdokkaiden lukumäärä";"2021";"698 Rovaniemi";"Yhteensä";342;198;144
"Ehdokkaiden lukumäärä";"2021";"851 Tornio";"Yhteensä";163;100;63
"Ehdokkaiden lukumäärä";"2021";"241 Keminmaa";"Yhteensä";109;61;48
"Ehdokkaiden lukumäärä";"2021";"320 Kemijärvi";"Yhteensä";79;56;23
"Ehdokkaiden lukumäärä";"2021";"758 Sodankylä";"Yhteensä";92;61;31
"Ehdokkaiden lukumäärä";"2021";"047 Enontekiö";"Yhteensä";43;25;18
"Ehdokkaiden lukumäärä";"2021";"148 Inari";"Yhteensä";79;46;33
"Ehdokkaiden lukumäärä";"2021";"261 Kittilä";"Yhteensä";83;52;31
"Ehdokkaiden lukumäärä";"2021";"273 Kolari";"Yhteensä";67;45;22
"Ehdokkaiden lukumäärä";"2021";"498 Muonio";"Yhteensä";33;21;12
