Kunta;Ikä;Yhteensä;Miehet;Naiset
Varkaus;Yhteensä;19973;9894;10079
Vehmaa;Yhteensä;2271;1149;1122
Vesanto;Yhteensä;1941;1005;936
Vesilahti;Yhteensä;4444;2311;2133
Veteli;Yhteensä;3004;1554;1450
Vieremä;Yhteensä;3490;1795;1695
Vihti;Yhteensä;29239;14564;14675
Viitasaari;Yhteensä;6070;2991;3079
Vimpeli;Yhteensä;2756;1421;1335
Virolahti;Yhteensä;3040;1544;1496
Virrat;Yhteensä;6465;3239;3226
Vårdö;Yhteensä;463;239;224
Vöyri;Yhteensä;6376;3271;3105
Ylitornio;Yhteensä;3830;1945;1885
Ylivieska;Yhteensä;15357;7652;7705
Ylöjärvi;Yhteensä;33533;16803;16730
Ypäjä;Yhteensä;2282;1149;1133
Ähtäri;Yhteensä;5484;2811;2673
Äänekoski;Yhteensä;18318;9250;9068
